stage,rider,rider_url,km_first_group,km_before_peloton
10,NICOLAU Joel,https://www.procyclingstats.com/rider/joel-nicolau,23.0,44.0
10,ABRAHAMSEN Jonas,https://www.procyclingstats.com/rider/jonas-abrahamsen,23.0,43.0
10,THOMAS Benjamin,https://www.procyclingstats.com/rider/benjamin-thomas-2,23.0,42.0
10,VELASCO Simone,https://www.procyclingstats.com/rider/simone-velasco,23.0,23.0
10,DEBRUYNE Ramses,https://www.procyclingstats.com/rider/ramses-debruyne,22.0,61.0
10,O'CONNOR Ben,https://www.procyclingstats.com/rider/ben-o-connor,22.0,45.0
10,JEGAT Jordan,https://www.procyclingstats.com/rider/jordan-jegat,21.0,47.0
10,BRAZ AFONSO Clément,https://www.procyclingstats.com/rider/clement-braz-afonso,21.0,45.0
10,HIRSCHI Marc,https://www.procyclingstats.com/rider/marc-hirschi,20.0,43.0
10,IZAGIRRE Ion,https://www.procyclingstats.com/rider/ion-izagirre,20.0,42.0
10,VAN DER POEL Mathieu,https://www.procyclingstats.com/rider/mathieu-van-der-poel,20.0,38.0
10,PLAPP Luke,https://www.procyclingstats.com/rider/luke-plapp,19.0,46.0
10,CEPEDA Jefferson Alveiro,https://www.procyclingstats.com/rider/jefferson-cepeda-hernandez,19.0,45.0
10,HIGUITA Sergio,https://www.procyclingstats.com/rider/sergio-higuita,19.0,44.0
10,GRÉGOIRE Romain,https://www.procyclingstats.com/rider/romain-gregoire,19.0,43.0
10,ARENSMAN Thymen,https://www.procyclingstats.com/rider/thymen-arensman,19.0,41.0
10,ZIMMERMANN Georg,https://www.procyclingstats.com/rider/georg-zimmermann,19.0,41.0
10,MARTIN Guillaume,https://www.procyclingstats.com/rider/guillaume-martin,19.0,19.0
10,HEALY Ben,https://www.procyclingstats.com/rider/ben-healy,18.0,46.0
10,WRIGHT Fred,https://www.procyclingstats.com/rider/alfred-wright,18.0,42.0
10,GUERNALEC Thibault,https://www.procyclingstats.com/rider/thibault-guernalec,18.0,18.0
10,HALLER Marco,https://www.procyclingstats.com/rider/marco-haller,18.0,18.0
10,POGAČAR Tadej,https://www.procyclingstats.com/rider/tadej-pogacar,16.0,14.0
10,FRIGO Marco,https://www.procyclingstats.com/rider/marco-frigo,14.0,14.0
10,TARLING Joshua,https://www.procyclingstats.com/rider/joshua-tarling,5.0,5.0
11,OLIVEIRA Nelson,https://www.procyclingstats.com/rider/nelson-oliveira,142.0,142.0
11,CHARMIG Anthon,https://www.procyclingstats.com/rider/anthon-charmig,142.0,142.0
11,LE BERRE Mathis,https://www.procyclingstats.com/rider/mathis-le-berre,142.0,142.0
11,ALAPHILIPPE Julian,https://www.procyclingstats.com/rider/julian-alaphilippe,110.0,112.0
11,SLOCK Liam,https://www.procyclingstats.com/rider/liam-slock,,14.0
12,VEISTROFFER Baptiste,https://www.procyclingstats.com/rider/baptiste-veistroffer,123.0,123.0
12,COSTIOU Ewen,https://www.procyclingstats.com/rider/ewen-costiou,72.0,81.0
12,CARUSO Damiano,https://www.procyclingstats.com/rider/damiano-caruso,61.0,70.0
12,VERCHER Mattéo,https://www.procyclingstats.com/rider/matheo-vercher,61.0,70.0
12,GANNA Filippo,https://www.procyclingstats.com/rider/filippo-ganna,9.0,10.0
12,VACEK Mathias,https://www.procyclingstats.com/rider/mathias-vacek,9.0,10.0
12,SCHMID Mauro,https://www.procyclingstats.com/rider/mauro-schmid,9.0,9.0
12,STANNARD Robert,https://www.procyclingstats.com/rider/robert-stannard,8.0,9.0
12,HOOLE Daan,https://www.procyclingstats.com/rider/daan-hoole,8.0,9.0
12,BERCKMOES Jenno,https://www.procyclingstats.com/rider/jenno-berckmoes,8.0,9.0
12,KIRSCH Alex,https://www.procyclingstats.com/rider/alex-kirsch,8.0,9.0
12,WRIGHT Fred,https://www.procyclingstats.com/rider/alfred-wright,8.0,8.0
12,MARSMAN Tim,https://www.procyclingstats.com/rider/tim-marsman,8.0,8.0
12,ASKEY Lewis,https://www.procyclingstats.com/rider/lewis-askey,8.0,8.0
12,STEINHAUSER Georg,https://www.procyclingstats.com/rider/georg-steinhauser,8.0,8.0
12,BALLERINI Davide,https://www.procyclingstats.com/rider/davide-ballerini,8.0,8.0
12,HAGENES Per Strand,https://www.procyclingstats.com/rider/per-strand-hagenes,8.0,8.0
12,DHONDT Robbe,https://www.procyclingstats.com/rider/robbe-dhondt,8.0,8.0
12,SIMMONS Quinn,https://www.procyclingstats.com/rider/quinn-simmons,5.0,6.0
13,SCHMID Mauro,https://www.procyclingstats.com/rider/mauro-schmid,166.0,170.0
13,VAN GILS Maxim,https://www.procyclingstats.com/rider/maxim-van-gils,152.0,170.0
13,VAUQUELIN Kévin,https://www.procyclingstats.com/rider/kevin-vauquelin,151.0,170.0
13,JEGAT Jordan,https://www.procyclingstats.com/rider/jordan-jegat,151.0,170.0
13,PIDCOCK Tom,https://www.procyclingstats.com/rider/tom-pidcock,151.0,170.0
13,WELLENS Tim,https://www.procyclingstats.com/rider/tim-wellens,146.0,170.0
13,MCNULTY Brandon,https://www.procyclingstats.com/rider/brandon-mcnulty,137.0,170.0
13,HIRSCHI Marc,https://www.procyclingstats.com/rider/marc-hirschi,136.0,147.0
13,GARCÍA PIERNA Raúl,https://www.procyclingstats.com/rider/raul-garcia-pierna,135.0,170.0
13,IZAGIRRE Ion,https://www.procyclingstats.com/rider/ion-izagirre,135.0,170.0
13,VALGREN Michael,https://www.procyclingstats.com/rider/michael-valgren-andersen,134.0,170.0
13,MOHORIČ Matej,https://www.procyclingstats.com/rider/matej-mohoric,134.0,140.0
13,BENNETT George,https://www.procyclingstats.com/rider/george-bennett,134.0,140.0
13,PLUIMERS Rick,https://www.procyclingstats.com/rider/rick-pluimers,133.0,139.0
13,PACHER Quentin,https://www.procyclingstats.com/rider/quentin-pacher,132.0,140.0
13,ARANBURU Alex,https://www.procyclingstats.com/rider/alex-aranburu,132.0,140.0
13,HERMANS Quinten,https://www.procyclingstats.com/rider/quinten-hermans,132.0,140.0
13,VERSTRYNGE Emiel,https://www.procyclingstats.com/rider/emiel-verstrynge,132.0,139.0
13,VAN DIJKE Tim,https://www.procyclingstats.com/rider/tim-van-dijke,131.0,139.0
13,PHILIPSEN Jasper,https://www.procyclingstats.com/rider/jasper-philipsen,131.0,139.0
13,THOMAS Benjamin,https://www.procyclingstats.com/rider/benjamin-thomas-2,131.0,139.0
13,CAMPENAERTS Victor,https://www.procyclingstats.com/rider/victor-campenaerts,131.0,139.0
13,VINOKUROV Nicolas,https://www.procyclingstats.com/rider/nicolas-vinokurov,131.0,139.0
13,GRÉGOIRE Romain,https://www.procyclingstats.com/rider/romain-gregoire,129.0,140.0
13,HEALY Ben,https://www.procyclingstats.com/rider/ben-healy,129.0,139.0
13,GERMANI Lorenzo,https://www.procyclingstats.com/rider/lorenzo-germani,126.0,140.0
13,OLIVEIRA Nelson,https://www.procyclingstats.com/rider/nelson-oliveira,126.0,140.0
13,HAGENES Per Strand,https://www.procyclingstats.com/rider/per-strand-hagenes,125.0,139.0
13,BREUILLARD Nicolas,https://www.procyclingstats.com/rider/nicolas-breuillard,124.0,170.0
13,RUSSO Clément,https://www.procyclingstats.com/rider/clement-russo,121.0,139.0
13,MEURISSE Xandro,https://www.procyclingstats.com/rider/xandro-meurisse,121.0,134.0
13,WRIGHT Fred,https://www.procyclingstats.com/rider/alfred-wright,117.0,134.0
13,ALAPHILIPPE Julian,https://www.procyclingstats.com/rider/julian-alaphilippe,117.0,134.0
13,DEGENKOLB John,https://www.procyclingstats.com/rider/john-degenkolb,117.0,134.0
13,GUERNALEC Thibault,https://www.procyclingstats.com/rider/thibault-guernalec,117.0,134.0
13,PLANCKAERT Edward,https://www.procyclingstats.com/rider/edward-planckaert,117.0,134.0
13,HESSMANN Michel,https://www.procyclingstats.com/rider/michel-hessmann,110.0,135.0
13,TEJADA Harold,https://www.procyclingstats.com/rider/harold-tejada,87.0,109.0
13,ASGREEN Kasper,https://www.procyclingstats.com/rider/kasper-asgreen,78.0,141.0
13,PLAPP Luke,https://www.procyclingstats.com/rider/luke-plapp,73.0,148.0
13,BRAZ AFONSO Clément,https://www.procyclingstats.com/rider/clement-braz-afonso,73.0,146.0
13,CRAPS Lars,https://www.procyclingstats.com/rider/lars-craps,57.0,146.0
13,MATTHEWS Michael,https://www.procyclingstats.com/rider/michael-matthews,56.0,146.0
13,O'CONNOR Ben,https://www.procyclingstats.com/rider/ben-o-connor,55.0,118.0
