rider,rider_url,date_of_birth,birth_year,nationality,height_m,weight_kg,bmi,place_of_birth
Harold Tejada,https://www.procyclingstats.com/rider/harold-tejada,1997-04-27,1997,Colombia,1.8,63.0,19.44,Pitalito
Jasper Stuyven,https://www.procyclingstats.com/rider/jasper-stuyven,1992-04-17,1992,Belgium,1.87,80.0,22.88,Leuven
Valentin Paret-Peintre,https://www.procyclingstats.com/rider/valentin-paret-peintre,2001-01-14,2001,France,1.78,52.0,16.41,Annemasse
Javier Romo,https://www.procyclingstats.com/rider/javier-romo,1999-01-06,1999,Spain,1.84,70.0,20.68,Villafranca de los Caballeros
Felix Großschartner,https://www.procyclingstats.com/rider/felix-grossschartner,1993-12-23,1993,Austria,1.84,64.0,18.9,Wels
Michał Kwiatkowski,https://www.procyclingstats.com/rider/michal-kwiatkowski,1990-06-02,1990,Poland,1.76,68.0,21.95,Chełmża
Tim Wellens,https://www.procyclingstats.com/rider/tim-wellens,1991-05-10,1991,Belgium,1.82,71.0,21.43,Sint-Truiden
Frits Biesterbos,https://www.procyclingstats.com/rider/frits-biesterbos,2002-02-14,2002,Netherlands,,,,Apeldoorn
Pavel Bittner,https://www.procyclingstats.com/rider/pavel-bittner,2002-10-29,2002,Czech Republic,1.84,73.0,21.56,Olomouc
Warren Barguil,https://www.procyclingstats.com/rider/warren-barguil,1991-10-28,1991,France,1.83,61.0,18.21,Hennebont
John Degenkolb,https://www.procyclingstats.com/rider/john-degenkolb,1989-01-07,1989,Germany,1.8,82.0,25.31,Gera
Julius van den Berg,https://www.procyclingstats.com/rider/julius-van-den-berg,1996-10-23,1996,Netherlands,1.9,78.0,21.61,Purmerend
Egan Bernal,https://www.procyclingstats.com/rider/egan-bernal,1997-01-13,1997,Colombia,1.75,60.0,19.59,Bogotá
Biniam Girmay,https://www.procyclingstats.com/rider/biniam-girmay,2000-04-02,2000,Eritrea,1.84,70.0,20.68,Asmara
Tim Marsman,https://www.procyclingstats.com/rider/tim-marsman,2000-10-04,2000,Netherlands,1.91,75.0,20.56,Hattem
Max Kanter,https://www.procyclingstats.com/rider/max-kanter,1997-10-22,1997,Germany,1.76,68.0,21.95,Cottbus
Ben Healy,https://www.procyclingstats.com/rider/ben-healy,2000-09-11,2000,Ireland,1.75,62.0,20.24,Kingswinford Previous nationalities Great Britain until 2016
Kasper Asgreen,https://www.procyclingstats.com/rider/kasper-asgreen,1995-02-08,1995,Denmark,1.93,75.0,20.13,Kolding
Damiano Caruso,https://www.procyclingstats.com/rider/damiano-caruso,1987-10-12,1987,Italy,1.79,67.0,20.91,Ragusa
Anthon Charmig,https://www.procyclingstats.com/rider/anthon-charmig,1998-03-25,1998,Denmark,1.82,66.0,19.93,Aarhus
Vlad Van Mechelen,https://www.procyclingstats.com/rider/vlad-van-mechelen,2004-06-02,2004,Belgium,1.83,73.0,21.8,Leuven
Marco Frigo,https://www.procyclingstats.com/rider/marco-frigo,2000-03-02,2000,Italy,1.88,70.0,19.81,Bassano del Grappa
Krists Neilands,https://www.procyclingstats.com/rider/krists-neilands,1994-08-18,1994,Latvia,1.89,69.0,19.32,Kuldīga
Tom Van Asbroeck,https://www.procyclingstats.com/rider/tom-van-asbroeck,1990-04-19,1990,Belgium,1.82,72.0,21.74,Aalst
Lewis Askey,https://www.procyclingstats.com/rider/lewis-askey,2001-05-04,2001,Great Britain,1.87,75.0,21.45,Cannock
Benjamin Thomas,https://www.procyclingstats.com/rider/benjamin-thomas-2,1995-09-12,1995,France,1.79,68.0,21.22,Lavaur
Clément Russo,https://www.procyclingstats.com/rider/clement-russo,1995-01-20,1995,France,1.87,74.0,21.16,Lyon
Lorenzo Germani,https://www.procyclingstats.com/rider/lorenzo-germani,2002-03-03,2002,Italy,1.79,62.0,19.35,Sora
Ewen Costiou,https://www.procyclingstats.com/rider/ewen-costiou,2002-11-10,2002,France,1.76,64.0,20.66,Brest
Niklas Märkl,https://www.procyclingstats.com/rider/niklas-markl,1999-03-03,1999,Germany,1.85,70.0,20.45,Queidersbach
Quentin Pacher,https://www.procyclingstats.com/rider/quentin-pacher,1992-01-06,1992,France,1.79,62.0,19.35,Libourne
Tiesj Benoot,https://www.procyclingstats.com/rider/tiesj-benoot,1994-03-11,1994,Belgium,1.9,72.0,19.94,Ghent
Damien Howson,https://www.procyclingstats.com/rider/damien-howson,1992-08-13,1992,Australia,1.88,68.0,19.24,Adelaide
Fred Wright,https://www.procyclingstats.com/rider/alfred-wright,1999-06-13,1999,Great Britain,1.84,75.0,22.15,London
Einer Rubio,https://www.procyclingstats.com/rider/einer-rubio,1998-02-22,1998,Colombia,1.64,56.0,20.82,Chíquiza
Michael Storer,https://www.procyclingstats.com/rider/michael-storer,1997-02-28,1997,Australia,1.77,63.0,20.11,Perth
Louis Vervaeke,https://www.procyclingstats.com/rider/louis-vervaeke,1993-10-06,1993,Belgium,1.81,68.0,20.76,Ronse
Florian Vermeersch,https://www.procyclingstats.com/rider/florian-vermeersch,1999-03-12,1999,Belgium,1.93,85.0,22.82,Ghent
Bruno Armirail,https://www.procyclingstats.com/rider/bruno-armirail,1994-04-11,1994,France,1.9,72.0,19.94,Bagnères-de-Bigorre
Victor Campenaerts,https://www.procyclingstats.com/rider/victor-campenaerts,1991-10-28,1991,Belgium,1.73,68.0,22.72,Hoboken
Huub Artz,https://www.procyclingstats.com/rider/huub-artz,2002-05-14,2002,Netherlands,1.86,71.0,20.52,Wintelre
Xandro Meurisse,https://www.procyclingstats.com/rider/xandro-meurisse,1992-01-31,1992,Belgium,1.81,68.0,20.76,Kortrijk
Xabier Mikel Azparren,https://www.procyclingstats.com/rider/xabier-mikel-azparren-irurzun,1999-02-25,1999,Spain,,,,San Sebastián
Clément Berthet,https://www.procyclingstats.com/rider/clement-berthet,1997-08-02,1997,France,1.84,68.0,20.09,Pierre Bénite
Guillaume Martin,https://www.procyclingstats.com/rider/guillaume-martin,1993-06-09,1993,France,1.73,55.0,18.38,Paris
Jake Stewart,https://www.procyclingstats.com/rider/jake-stewart,1999-10-02,1999,Great Britain,1.79,66.0,20.6,Coventry
Stefano Oldani,https://www.procyclingstats.com/rider/stefano-oldani,1998-01-10,1998,Italy,1.78,65.0,20.52,Milan
Sebastian Berwick,https://www.procyclingstats.com/rider/sebastian-berwick,1999-12-15,1999,Australia,1.75,59.0,19.27,Brisbane
Alexandre Delettre,https://www.procyclingstats.com/rider/alexandre-delettre,1997-10-25,1997,France,1.7,62.0,21.45,Gonesse
Max Walker,https://www.procyclingstats.com/rider/max-walker,2001-07-12,2001,Great Britain,,,,Douglas
Rick Pluimers,https://www.procyclingstats.com/rider/rick-pluimers,2000-12-07,2000,Netherlands,1.8,67.0,20.68,Enter
Arvid de Kleijn,https://www.procyclingstats.com/rider/arvid-de-kleijn,1994-03-21,1994,Netherlands,1.71,68.0,23.26,Herveld
Anders Halland Johannessen,https://www.procyclingstats.com/rider/anders-halland-johannessen,1999-08-23,1999,Norway,1.76,,,Drøbak
Alex Aranburu,https://www.procyclingstats.com/rider/alex-aranburu,1995-09-19,1995,Spain,1.78,63.0,19.88,Ezkio-Itsaso
Jonas Abrahamsen,https://www.procyclingstats.com/rider/jonas-abrahamsen,1995-09-20,1995,Norway,1.83,78.0,23.29,Skien
Magnus Cort,https://www.procyclingstats.com/rider/magnus-cort-nielsen,1993-01-16,1993,Denmark,1.84,68.0,20.09,Rønne
Matis Louvel,https://www.procyclingstats.com/rider/matis-louvel,1999-07-19,1999,France,1.87,77.0,22.02,Mont Saint Aignan
Matej Mohorič,https://www.procyclingstats.com/rider/matej-mohoric,1994-10-19,1994,Slovenia,1.86,71.0,20.52,Kranj
Edward Planckaert,https://www.procyclingstats.com/rider/edward-planckaert,1995-02-01,1995,Belgium,1.78,71.0,22.41,Kortrijk
Anders Skaarseth,https://www.procyclingstats.com/rider/anders-skaarseth,1995-05-07,1995,Norway,1.86,,,Lillehammer
Nicolas Prodhomme,https://www.procyclingstats.com/rider/nicolas-prodhomme,1997-02-01,1997,France,1.74,63.0,20.81,L'Aigle
Anthony Turgis,https://www.procyclingstats.com/rider/anthony-turgis,1994-05-16,1994,France,1.78,70.0,22.09,Bourg-la-Reine
Fernando Gaviria,https://www.procyclingstats.com/rider/fernando-gaviria,1994-08-19,1994,Colombia,1.81,71.0,21.67,La Ceja
Mattia Cattaneo,https://www.procyclingstats.com/rider/mattia-cattaneo,1990-10-25,1990,Italy,1.84,67.0,19.79,Alzano Lombardo
Jan Tratnik,https://www.procyclingstats.com/rider/jan-tratnik,1990-02-23,1990,Slovenia,1.73,67.0,22.39,Idrija
Georg Zimmermann,https://www.procyclingstats.com/rider/georg-zimmermann,1997-10-11,1997,Germany,1.81,70.0,21.37,Augsburg
Lars Craps,https://www.procyclingstats.com/rider/lars-craps,2001-10-17,2001,Belgium,1.85,67.0,19.58,Aalst
Liam Slock,https://www.procyclingstats.com/rider/liam-slock,2000-09-18,2000,Belgium,1.88,74.0,20.94,Ghent
Baptiste Veistroffer,https://www.procyclingstats.com/rider/baptiste-veistroffer,2000-05-29,2000,France,1.82,73.0,22.04,Fouesnant
Arnaud De Lie,https://www.procyclingstats.com/rider/arnaud-de-lie,2002-03-16,2002,Belgium,1.82,78.0,23.55,Libramont
Jenthe Biermans,https://www.procyclingstats.com/rider/jenthe-biermans,1995-10-30,1995,Belgium,1.84,78.0,23.04,Geel
Hugo Page,https://www.procyclingstats.com/rider/hugo-page,2001-07-24,2001,France,1.85,71.0,20.75,Chartres
Olav Kooij,https://www.procyclingstats.com/rider/olav-kooij,2001-10-17,2001,Netherlands,1.84,72.0,21.27,Numansdorp
Daan Hoole,https://www.procyclingstats.com/rider/daan-hoole,1999-02-22,1999,Netherlands,1.98,84.0,21.43,Zuidland
Jakub Otruba,https://www.procyclingstats.com/rider/jakub-otruba,1998-01-30,1998,Czech Republic,1.9,75.0,20.78,Olomouc
Robert Stannard,https://www.procyclingstats.com/rider/robert-stannard,1998-09-16,1998,Australia,1.79,74.0,23.1,Sydney Previous nationalities New Zealand until 2016
Søren Wærenskjold,https://www.procyclingstats.com/rider/soren-waerenskjold,2000-03-12,2000,Norway,1.95,92.0,24.19,Mandal
Toms Skujiņš,https://www.procyclingstats.com/rider/toms-skujins,1991-06-15,1991,Latvia,1.81,72.0,21.98,Sigulda
Chris Harper,https://www.procyclingstats.com/rider/chris-harper,1994-11-23,1994,Australia,1.85,67.0,19.58,Melbourne
Carlos Verona,https://www.procyclingstats.com/rider/carlos-verona,1992-11-04,1992,Spain,1.86,68.0,19.66,San Lorenzo de El Escorial
Mads Pedersen,https://www.procyclingstats.com/rider/mads-pedersen,1995-12-18,1995,Denmark,1.8,76.0,23.46,Tølløse
Per Strand Hagenes,https://www.procyclingstats.com/rider/per-strand-hagenes,2003-07-10,2003,Norway,1.86,78.0,22.55,Sandnes
Edoardo Affini,https://www.procyclingstats.com/rider/edoardo-affini,1996-06-24,1996,Italy,1.9,85.0,23.55,Mantua
Quinn Simmons,https://www.procyclingstats.com/rider/quinn-simmons,2001-05-08,2001,United States,1.85,73.0,21.33,Durango
Pascal Eenkhoorn,https://www.procyclingstats.com/rider/pascal-eenkhoorn,1997-02-08,1997,Netherlands,1.85,72.0,21.04,Zwolle
Nils Politt,https://www.procyclingstats.com/rider/nils-politt,1994-03-06,1994,Germany,1.92,80.0,21.7,Cologne
Adam Yates,https://www.procyclingstats.com/rider/adam-yates,1992-08-07,1992,Great Britain,1.73,58.0,19.38,Bury
Brent Van Moer,https://www.procyclingstats.com/rider/brent-van-moer,1998-01-12,1998,Belgium,1.91,79.0,21.66,Beveren
Joel Nicolau,https://www.procyclingstats.com/rider/joel-nicolau,1997-12-23,1997,Spain,1.76,66.0,21.31,Llofriu
Cees Bol,https://www.procyclingstats.com/rider/cees-bol,1995-07-27,1995,Netherlands,1.94,83.0,22.05,Zaandam
Milan Fretin,https://www.procyclingstats.com/rider/milan-fretin,2001-03-19,2001,Belgium,1.82,70.0,21.13,Genk
