stage,rank,status,gc_position,gc_timelag_seconds,bib,specialty,age,nationality_code,rider,rider_url,team,uci_points,pcs_points,time_raw,stage_gap_seconds,elapsed_seconds
7,121,finished,157,4071,124,Sprint,32,NL,Groenewegen Dylan,https://www.procyclingstats.com/rider/dylan-groenewegen,Team Jayco AlUla,,,",,",793,15532
7,122,finished,108,2737,163,Sprint,33,FR,Coquard Bryan,https://www.procyclingstats.com/rider/bryan-coquard,Cofidis,,,13:29,809,15548
7,123,finished,123,3051,187,Classic,31,FR,Turgis Anthony,https://www.procyclingstats.com/rider/anthony-turgis,TotalEnergies,,,13:49,829,15568
7,124,finished,176,4619,188,Hills,24,FR,Vercher Mattéo,https://www.procyclingstats.com/rider/matheo-vercher,TotalEnergies,,,",,",829,15568
7,125,finished,124,3065,4,Classic,31,DE,Politt Nils,https://www.procyclingstats.com/rider/nils-politt,UAE Team Emirates - XRG,,,",,",829,15568
7,126,finished,132,3565,202,Sprint,31,DE,Ackermann Pascal,https://www.procyclingstats.com/rider/pascal-ackermann,Israel - Premier Tech,,,14:05,845,15584
7,127,finished,136,3621,216,GC,34,AR,Sepúlveda Eduardo,https://www.procyclingstats.com/rider/eduardo-sepulveda,Lotto,,,",,",845,15584
7,128,finished,82,2214,33,TT,30,DK,Asgreen Kasper,https://www.procyclingstats.com/rider/kasper-asgreen,EF Education - EasyPost,,,",,",845,15584
7,129,finished,151,4007,165,Classic,26,FR,Renard Alexis,https://www.procyclingstats.com/rider/alexis-renard,Cofidis,,,14:13,853,15592
7,130,finished,161,4173,204,Classic,36,CA,Boivin Guillaume,https://www.procyclingstats.com/rider/guillaume-boivin,Israel - Premier Tech,,,",,",853,15592
7,131,finished,142,3808,208,Hills,25,GB,Stewart Jake,https://www.procyclingstats.com/rider/jake-stewart,Israel - Premier Tech,,,",,",853,15592
7,132,finished,88,2331,171,Climber,28,CO,Tejada Harold,https://www.procyclingstats.com/rider/harold-tejada,XDS Astana Team,,,",,",853,15592
7,133,finished,165,4216,115,Classic,31,CH,Lienhard Fabian,https://www.procyclingstats.com/rider/fabian-lienhard,Tudor Pro Cycling Team,,,",,",853,15592
7,134,finished,174,4561,102,Classic,34,CH,Dillier Silvan,https://www.procyclingstats.com/rider/silvan-dillier,Alpecin - Deceuninck,,,",,",853,15592
7,135,finished,86,2303,128,Hills,25,CH,Schmid Mauro,https://www.procyclingstats.com/rider/mauro-schmid,Team Jayco AlUla,,,",,",853,15592
7,136,finished,81,2089,114,Classic,26,CH,Hirschi Marc,https://www.procyclingstats.com/rider/marc-hirschi,Tudor Pro Cycling Team,,,",,",853,15592
7,137,finished,44,1270,203,GC,22,GB,Blackmore Joseph,https://www.procyclingstats.com/rider/joseph-blackmore,Israel - Premier Tech,,,",,",853,15592
7,138,finished,67,1749,162,Classic,29,ES,Aranburu Alex,https://www.procyclingstats.com/rider/alex-aranburu,Cofidis,,,",,",853,15592
7,139,finished,133,3583,77,Sprint,31,NL,van Poppel Danny,https://www.procyclingstats.com/rider/danny-van-poppel,Red Bull - BORA - hansgrohe,,,",,",853,15592
7,140,finished,109,2758,58,Hills,26,GB,Wright Fred,https://www.procyclingstats.com/rider/alfred-wright,Bahrain - Victorious,,,",,",853,15592
7,141,finished,166,4243,52,Sprint,31,DE,Bauhaus Phil,https://www.procyclingstats.com/rider/phil-bauhaus,Bahrain - Victorious,,,",,",853,15592
7,142,finished,169,4365,53,TT,34,PL,Gradek Kamil,https://www.procyclingstats.com/rider/kamil-gradek,Bahrain - Victorious,,,",,",853,15592
7,143,finished,162,4190,214,GC,26,AU,Drizners Jarrad,https://www.procyclingstats.com/rider/jarrad-drizners,Lotto,,,",,",853,15592
7,144,finished,114,2866,126,GC,24,AU,Plapp Luke,https://www.procyclingstats.com/rider/luke-plapp,Team Jayco AlUla,,,",,",853,15592
7,145,finished,167,4303,215,Classic,26,BE,Grignard Sébastien,https://www.procyclingstats.com/rider/sebastien-grignard,Lotto,,,",,",853,15592
7,146,finished,148,3981,217,Climber,23,BE,Van Eetvelt Lennert,https://www.procyclingstats.com/rider/lennert-van-eetvelt,Lotto,,,",,",853,15592
7,147,finished,163,4190,134,Classic,33,FR,Démare Arnaud,https://www.procyclingstats.com/rider/arnaud-demare,Arkéa - B&B Hotels,,,",,",853,15592
7,148,finished,141,3788,38,Hills,25,NL,van den Berg Marijn,https://www.procyclingstats.com/rider/marijn-van-den-berg,EF Education - EasyPost,,,",,",853,15592
